fitness,algorithm,N,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,10,9.0,0.0006701946258544922,0,50.0
OneMax,random_hill_climb,10,9.0,0.00045990943908691406,0,500.0
OneMax,random_hill_climb,10,10.0,0.0009002685546875,0,1000.0
OneMax,random_hill_climb,10,9.0,0.0004992485046386719,1,50.0
OneMax,random_hill_climb,10,9.0,0.0007660388946533203,1,500.0
OneMax,random_hill_climb,10,9.0,0.0010728836059570312,1,1000.0
OneMax,random_hill_climb,10,10.0,0.0015158653259277344,2,50.0
OneMax,random_hill_climb,10,10.0,0.0013048648834228516,2,500.0
OneMax,random_hill_climb,10,10.0,0.0011091232299804688,2,1000.0
OneMax,random_hill_climb,10,10.0,0.0006682872772216797,3,50.0
OneMax,random_hill_climb,10,10.0,0.0007419586181640625,3,500.0
OneMax,random_hill_climb,10,10.0,0.0010519027709960938,3,1000.0
OneMax,simulated_annealing,10,9.0,0.0021550655364990234,0,50.0
OneMax,simulated_annealing,10,10.0,0.003120899200439453,0,500.0
OneMax,simulated_annealing,10,10.0,0.0023088455200195312,0,1000.0
OneMax,simulated_annealing,10,9.0,0.0011792182922363281,1,50.0
OneMax,simulated_annealing,10,7.0,0.002366781234741211,1,500.0
OneMax,simulated_annealing,10,7.0,0.0025131702423095703,1,1000.0
OneMax,simulated_annealing,10,7.0,0.0011570453643798828,2,50.0
OneMax,simulated_annealing,10,9.0,0.001651763916015625,2,500.0
OneMax,simulated_annealing,10,9.0,0.0016617774963378906,2,1000.0
OneMax,simulated_annealing,10,7.0,0.0011420249938964844,3,50.0
OneMax,simulated_annealing,10,10.0,0.001734018325805664,3,500.0
OneMax,simulated_annealing,10,10.0,0.0017380714416503906,3,1000.0
OneMax,genetic_alg,10,10.0,0.09915423393249512,0,50.0
OneMax,genetic_alg,10,10.0,0.05406475067138672,0,500.0
OneMax,genetic_alg,10,10.0,0.051088809967041016,0,1000.0
OneMax,genetic_alg,10,10.0,0.05908608436584473,1,50.0
OneMax,genetic_alg,10,10.0,0.05861997604370117,1,500.0
OneMax,genetic_alg,10,10.0,0.05859494209289551,1,1000.0
OneMax,genetic_alg,10,10.0,0.050128936767578125,2,50.0
OneMax,genetic_alg,10,10.0,0.04978322982788086,2,500.0
OneMax,genetic_alg,10,10.0,0.05029582977294922,2,1000.0
OneMax,genetic_alg,10,10.0,0.06435775756835938,3,50.0
OneMax,genetic_alg,10,10.0,0.06356692314147949,3,500.0
OneMax,genetic_alg,10,10.0,0.0630500316619873,3,1000.0
OneMax,mimic,10,10.0,0.0656578540802002,0,5.0
OneMax,mimic,10,10.0,0.1536540985107422,0,50.0
OneMax,mimic,10,10.0,0.13959980010986328,0,100.0
OneMax,mimic,10,10.0,0.06476306915283203,1,5.0
OneMax,mimic,10,10.0,0.1400740146636963,1,50.0
OneMax,mimic,10,10.0,0.1417090892791748,1,100.0
OneMax,mimic,10,10.0,0.06552290916442871,2,5.0
OneMax,mimic,10,10.0,0.15266108512878418,2,50.0
OneMax,mimic,10,10.0,0.1514890193939209,2,100.0
OneMax,mimic,10,10.0,0.06600189208984375,3,5.0
OneMax,mimic,10,10.0,0.14013314247131348,3,50.0
OneMax,mimic,10,10.0,0.13988900184631348,3,100.0
FlipFlop,random_hill_climb,10,6.0,8.106231689453125e-05,0,50.0
FlipFlop,random_hill_climb,10,6.0,4.887580871582031e-05,0,500.0
FlipFlop,random_hill_climb,10,7.0,6.508827209472656e-05,0,1000.0
FlipFlop,random_hill_climb,10,8.0,9.393692016601562e-05,1,50.0
FlipFlop,random_hill_climb,10,8.0,9.608268737792969e-05,1,500.0
