fitness,algorithm,input_size,number_of_iterations,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,10,19,10.0,0.001070261001586914,0,inf
OneMax,simulated_annealing,10,95,10.0,0.004004240036010742,0,inf
OneMax,genetic_alg,10,12,10.0,0.09101986885070801,0,inf
OneMax,mimic,10,11,10.0,0.13879013061523438,0,20.0
FlipFlop,random_hill_climb,10,13,8.0,7.987022399902344e-05,0,inf
FlipFlop,simulated_annealing,10,91,8.0,0.0006449222564697266,0,inf
FlipFlop,genetic_alg,10,12,9.0,0.05107831954956055,0,inf
FlipFlop,mimic,10,11,9.0,0.14916682243347168,0,20.0
FourPeaks,random_hill_climb,10,16,13.0,9.322166442871094e-05,0,inf
FourPeaks,simulated_annealing,10,49,18.0,0.00034618377685546875,0,inf
FourPeaks,genetic_alg,10,11,18.0,0.0489039421081543,0,inf
FourPeaks,mimic,10,11,18.0,0.13577771186828613,0,20.0
OneMax,random_hill_climb,20,23,18.0,0.00017499923706054688,0,inf
OneMax,simulated_annealing,20,120,19.0,0.0010001659393310547,0,inf
OneMax,genetic_alg,20,23,19.0,0.1086130142211914,0,inf
OneMax,mimic,20,13,20.0,0.6327297687530518,0,20.0
FlipFlop,random_hill_climb,20,20,14.0,0.00014209747314453125,0,inf
FlipFlop,simulated_annealing,20,77,18.0,0.00063323974609375,0,inf
FlipFlop,genetic_alg,20,13,17.0,0.0604548454284668,0,inf
FlipFlop,mimic,20,15,19.0,0.7863378524780273,0,20.0
FourPeaks,random_hill_climb,20,10,1.0,7.486343383789062e-05,0,inf
FourPeaks,simulated_annealing,20,92,16.0,0.0007128715515136719,0,inf
FourPeaks,genetic_alg,20,17,36.0,0.0763850212097168,0,inf
FourPeaks,mimic,20,20,37.0,0.9639818668365479,0,20.0
OneMax,random_hill_climb,30,51,26.0,0.0003552436828613281,0,inf
OneMax,simulated_annealing,30,97,26.0,0.0008027553558349609,0,inf
OneMax,genetic_alg,30,18,25.0,0.08636999130249023,0,inf
OneMax,mimic,30,15,30.0,1.619302749633789,0,20.0
FlipFlop,random_hill_climb,30,23,20.0,0.00018286705017089844,0,inf
FlipFlop,simulated_annealing,30,157,26.0,0.0015749931335449219,0,inf
FlipFlop,genetic_alg,30,16,24.0,0.08194875717163086,0,inf
FlipFlop,mimic,30,16,29.0,1.7688100337982178,0,20.0
FourPeaks,random_hill_climb,30,10,0.0,6.389617919921875e-05,0,inf
FourPeaks,simulated_annealing,30,195,45.0,0.0015408992767333984,0,inf
FourPeaks,genetic_alg,30,19,44.0,0.08749580383300781,0,inf
FourPeaks,mimic,30,20,52.0,2.1689069271087646,0,20.0
OneMax,random_hill_climb,40,47,36.0,0.00034618377685546875,0,inf
OneMax,simulated_annealing,40,118,39.0,0.001004934310913086,0,inf
OneMax,genetic_alg,40,17,33.0,0.08574724197387695,0,inf
OneMax,mimic,40,15,40.0,2.9174180030822754,0,20.0
FlipFlop,random_hill_climb,40,25,31.0,0.0002601146697998047,0,inf
FlipFlop,simulated_annealing,40,156,35.0,0.0019156932830810547,0,inf
FlipFlop,genetic_alg,40,18,30.0,0.09959697723388672,0,inf
FlipFlop,mimic,40,14,37.0,2.785445213317871,0,20.0
FourPeaks,random_hill_climb,40,22,14.0,0.0001289844512939453,0,inf
FourPeaks,simulated_annealing,40,396,66.0,0.003219127655029297,0,inf
FourPeaks,genetic_alg,40,31,58.0,0.14847612380981445,0,inf
FourPeaks,mimic,40,20,60.0,3.9132351875305176,0,20.0
OneMax,random_hill_climb,50,52,43.0,0.0003590583801269531,0,inf
OneMax,simulated_annealing,50,114,41.0,0.0009529590606689453,0,inf
OneMax,genetic_alg,50,11,37.0,0.058073997497558594,0,inf
OneMax,mimic,50,16,50.0,4.900321960449219,0,20.0
FlipFlop,random_hill_climb,50,22,32.0,0.00023603439331054688,0,inf
FlipFlop,simulated_annealing,50,150,42.0,0.0020368099212646484,0,inf
FlipFlop,genetic_alg,50,17,38.0,0.10060787200927734,0,inf
FlipFlop,mimic,50,16,43.0,5.210323095321655,0,20.0
FourPeaks,random_hill_climb,50,10,2.0,6.508827209472656e-05,0,inf
FourPeaks,simulated_annealing,50,814,39.0,0.006871938705444336,0,inf
FourPeaks,genetic_alg,50,17,69.0,0.08654618263244629,0,inf
FourPeaks,mimic,50,20,70.0,6.396810054779053,0,20.0
OneMax,random_hill_climb,60,74,50.0,0.0005669593811035156,0,inf
OneMax,simulated_annealing,60,131,50.0,0.0013010501861572266,0,inf
OneMax,genetic_alg,60,14,45.0,0.07627320289611816,0,inf
OneMax,mimic,60,17,60.0,7.518071174621582,0,20.0
FlipFlop,random_hill_climb,60,10,25.0,0.00013113021850585938,0,inf
FlipFlop,simulated_annealing,60,310,48.0,0.0048749446868896484,0,inf
FlipFlop,genetic_alg,60,26,44.0,0.16675400733947754,0,inf
FlipFlop,mimic,60,20,53.0,9.00423789024353,0,20.0
FourPeaks,random_hill_climb,60,18,3.0,0.00010609626770019531,0,inf
FourPeaks,simulated_annealing,60,931,33.0,0.009255170822143555,0,inf
FourPeaks,genetic_alg,60,22,76.0,0.11566996574401855,0,inf
FourPeaks,mimic,60,20,97.0,8.926331996917725,0,20.0
OneMax,random_hill_climb,70,104,62.0,0.0006930828094482422,0,inf
OneMax,simulated_annealing,70,120,59.0,0.0010459423065185547,0,inf
OneMax,genetic_alg,70,18,51.0,0.10150384902954102,0,inf
OneMax,mimic,70,17,70.0,10.192292928695679,0,20.0
FlipFlop,random_hill_climb,70,16,37.0,0.0002319812774658203,0,inf
FlipFlop,simulated_annealing,70,136,51.0,0.0024480819702148438,0,inf
FlipFlop,genetic_alg,70,13,50.0,0.09066915512084961,0,inf
FlipFlop,mimic,70,20,63.0,12.201250076293945,0,20.0
FourPeaks,random_hill_climb,70,10,4.0,8.392333984375e-05,0,inf
FourPeaks,simulated_annealing,70,738,101.0,0.006960868835449219,0,inf
FourPeaks,genetic_alg,70,29,86.0,0.15812397003173828,0,inf
FourPeaks,mimic,70,20,93.0,12.54839015007019,0,20.0
OneMax,random_hill_climb,80,49,62.0,0.00034809112548828125,0,inf
OneMax,simulated_annealing,80,149,69.0,0.0013179779052734375,0,inf
OneMax,genetic_alg,80,15,58.0,0.08783316612243652,0,inf
