fitness,algorithm,input_size,number_of_iterations,best_fitness,time,random_state,max_iters
Knapsack,random_hill_climb,5,10,0.0,0.0001862049102783203,0,10000
Knapsack,random_hill_climb,5,10,0.0,0.0003120899200439453,1,10000
Knapsack,random_hill_climb,5,10,0.0,0.00022482872009277344,2,10000
Knapsack,simulated_annealing,5,79,9.0,0.0019249916076660156,0,10000
Knapsack,simulated_annealing,5,560,9.0,0.010925054550170898,1,10000
Knapsack,simulated_annealing,5,126,10.0,0.0023140907287597656,2,10000
Knapsack,genetic_alg,5,17,11.0,0.0855417251586914,0,10000
Knapsack,genetic_alg,5,26,11.0,0.13182425498962402,1,10000
Knapsack,genetic_alg,5,15,11.0,0.07837796211242676,2,10000
Knapsack,mimic,5,17,8.0,0.09059381484985352,0,20
Knapsack,mimic,5,14,8.0,0.07553601264953613,1,20
Knapsack,mimic,5,19,9.0,0.10047411918640137,2,20
Knapsack,random_hill_climb,6,10,0.0,0.00013113021850585938,0,10000
Knapsack,random_hill_climb,6,10,0.0,0.0001227855682373047,1,10000
Knapsack,random_hill_climb,6,10,0.0,0.00011992454528808594,2,10000
Knapsack,simulated_annealing,6,1078,10.0,0.01787710189819336,0,10000
Knapsack,simulated_annealing,6,1385,12.0,0.024576902389526367,1,10000
Knapsack,simulated_annealing,6,1723,20.0,0.03067779541015625,2,10000
Knapsack,genetic_alg,6,10,0.0,0.05368494987487793,0,10000
Knapsack,genetic_alg,6,14,20.0,0.07160186767578125,1,10000
Knapsack,genetic_alg,6,21,18.0,0.10754990577697754,2,10000
Knapsack,mimic,6,13,20.0,0.09158706665039062,0,20
Knapsack,mimic,6,10,0.0,0.07289600372314453,1,20
Knapsack,mimic,6,10,0.0,0.07140207290649414,2,20
Knapsack,random_hill_climb,7,10,0.0,0.00012111663818359375,0,10000
Knapsack,random_hill_climb,7,10,0.0,0.00011396408081054688,1,10000
Knapsack,random_hill_climb,7,10,0.0,0.00011181831359863281,2,10000
Knapsack,simulated_annealing,7,10000,0.0,0.17749500274658203,0,10000
Knapsack,simulated_annealing,7,10000,0.0,0.179473876953125,1,10000
Knapsack,simulated_annealing,7,10000,0.0,0.17338180541992188,2,10000
Knapsack,genetic_alg,7,10,0.0,0.05425596237182617,0,10000
Knapsack,genetic_alg,7,10,0.0,0.05383586883544922,1,10000
Knapsack,genetic_alg,7,10,0.0,0.05494999885559082,2,10000
Knapsack,mimic,7,10,0.0,0.0988469123840332,0,20
Knapsack,mimic,7,10,0.0,0.09980010986328125,1,20
Knapsack,mimic,7,10,0.0,0.09833717346191406,2,20
Knapsack,random_hill_climb,8,10,0.0,0.00012803077697753906,0,10000
Knapsack,random_hill_climb,8,10,0.0,0.00011897087097167969,1,10000
Knapsack,random_hill_climb,8,10,0.0,0.00011777877807617188,2,10000
Knapsack,simulated_annealing,8,10000,0.0,0.17571401596069336,0,10000
Knapsack,simulated_annealing,8,4385,20.0,0.07338881492614746,1,10000
Knapsack,simulated_annealing,8,10000,0.0,0.1827549934387207,2,10000
Knapsack,genetic_alg,8,18,26.0,0.09942007064819336,0,10000
Knapsack,genetic_alg,8,10,0.0,0.05608201026916504,1,10000
Knapsack,genetic_alg,8,10,0.0,0.05972099304199219,2,10000
Knapsack,mimic,8,10,0.0,0.12318277359008789,0,20
Knapsack,mimic,8,10,0.0,0.12221908569335938,1,20
Knapsack,mimic,8,10,0.0,0.12375998497009277,2,20
Knapsack,random_hill_climb,9,10,0.0,0.00013303756713867188,0,10000
Knapsack,random_hill_climb,9,10,0.0,0.0001251697540283203,1,10000
Knapsack,random_hill_climb,9,10,0.0,0.00012111663818359375,2,10000
Knapsack,simulated_annealing,9,10000,0.0,0.17865538597106934,0,10000
Knapsack,simulated_annealing,9,10000,0.0,0.1845388412475586,1,10000
Knapsack,simulated_annealing,9,10000,0.0,0.18956303596496582,2,10000
Knapsack,genetic_alg,9,10,0.0,0.05718493461608887,0,10000
Knapsack,genetic_alg,9,10,0.0,0.052980899810791016,1,10000
Knapsack,genetic_alg,9,10,0.0,0.05240607261657715,2,10000
Knapsack,mimic,9,10,0.0,0.1448678970336914,0,20
Knapsack,mimic,9,10,0.0,0.15549993515014648,1,20
Knapsack,mimic,9,10,0.0,0.1582939624786377,2,20
Knapsack,random_hill_climb,10,10,0.0,0.00014400482177734375,0,10000
Knapsack,random_hill_climb,10,10,0.0,0.00013518333435058594,1,10000
Knapsack,random_hill_climb,10,10,0.0,0.00012803077697753906,2,10000
Knapsack,simulated_annealing,10,10000,0.0,0.16596698760986328,0,10000
Knapsack,simulated_annealing,10,10000,0.0,0.17168617248535156,1,10000
Knapsack,simulated_annealing,10,10000,0.0,0.19199585914611816,2,10000
Knapsack,genetic_alg,10,10,0.0,0.05846881866455078,0,10000
Knapsack,genetic_alg,10,10,0.0,0.053582191467285156,1,10000
Knapsack,genetic_alg,10,10,0.0,0.05270195007324219,2,10000
Knapsack,mimic,10,10,0.0,0.17937183380126953,0,20
Knapsack,mimic,10,10,0.0,0.17563319206237793,1,20
Knapsack,mimic,10,10,0.0,0.1920170783996582,2,20
Knapsack,random_hill_climb,11,10,0.0,0.00014400482177734375,0,10000
Knapsack,random_hill_climb,11,10,0.0,0.00013494491577148438,1,10000
Knapsack,random_hill_climb,11,10,0.0,0.0001289844512939453,2,10000
Knapsack,simulated_annealing,11,10000,0.0,0.19201087951660156,0,10000
Knapsack,simulated_annealing,11,10000,0.0,0.17260289192199707,1,10000
Knapsack,simulated_annealing,11,10000,0.0,0.17992615699768066,2,10000
Knapsack,genetic_alg,11,10,0.0,0.0617520809173584,0,10000
Knapsack,genetic_alg,11,10,0.0,0.06270885467529297,1,10000
Knapsack,genetic_alg,11,10,0.0,0.06308317184448242,2,10000
Knapsack,mimic,11,10,0.0,0.236741304397583,0,20
Knapsack,mimic,11,10,0.0,0.24143385887145996,1,20
Knapsack,mimic,11,10,0.0,0.22460699081420898,2,20
Knapsack,random_hill_climb,12,10,0.0,0.0001437664031982422,0,10000
Knapsack,random_hill_climb,12,10,0.0,0.00013208389282226562,1,10000
Knapsack,random_hill_climb,12,10,0.0,0.00013208389282226562,2,10000
Knapsack,simulated_annealing,12,10000,0.0,0.18354415893554688,0,10000
Knapsack,simulated_annealing,12,10000,0.0,0.17470192909240723,1,10000
Knapsack,simulated_annealing,12,10000,0.0,0.1757357120513916,2,10000
Knapsack,genetic_alg,12,10,0.0,0.06105613708496094,0,10000
Knapsack,genetic_alg,12,10,0.0,0.06025195121765137,1,10000
Knapsack,genetic_alg,12,10,0.0,0.060791015625,2,10000
Knapsack,mimic,12,10,0.0,0.2539942264556885,0,20
Knapsack,mimic,12,10,0.0,0.27614283561706543,1,20
Knapsack,mimic,12,10,0.0,0.2712090015411377,2,20
Knapsack,random_hill_climb,13,10,0.0,0.0001308917999267578,0,10000
Knapsack,random_hill_climb,13,10,0.0,0.00012111663818359375,1,10000
Knapsack,random_hill_climb,13,10,0.0,0.00011897087097167969,2,10000
Knapsack,simulated_annealing,13,10000,0.0,0.1761460304260254,0,10000
Knapsack,simulated_annealing,13,10000,0.0,0.1797950267791748,1,10000
Knapsack,simulated_annealing,13,10000,0.0,0.17707490921020508,2,10000
Knapsack,genetic_alg,13,10,0.0,0.05745720863342285,0,10000
Knapsack,genetic_alg,13,10,0.0,0.055058956146240234,1,10000
Knapsack,genetic_alg,13,10,0.0,0.054863929748535156,2,10000
Knapsack,mimic,13,10,0.0,0.3173367977142334,0,20
Knapsack,mimic,13,10,0.0,0.30881381034851074,1,20
Knapsack,mimic,13,10,0.0,0.3206970691680908,2,20
Knapsack,random_hill_climb,14,10,0.0,0.00014901161193847656,0,10000
Knapsack,random_hill_climb,14,10,0.0,0.0001361370086669922,1,10000
Knapsack,random_hill_climb,14,10,0.0,0.00012803077697753906,2,10000
Knapsack,simulated_annealing,14,10000,0.0,0.18892908096313477,0,10000
Knapsack,simulated_annealing,14,10000,0.0,0.17500901222229004,1,10000
Knapsack,simulated_annealing,14,10000,0.0,0.19131016731262207,2,10000
Knapsack,genetic_alg,14,10,0.0,0.06247711181640625,0,10000
Knapsack,genetic_alg,14,10,0.0,0.06072711944580078,1,10000
Knapsack,genetic_alg,14,10,0.0,0.06314611434936523,2,10000
Knapsack,mimic,14,10,0.0,0.37601685523986816,0,20
Knapsack,mimic,14,10,0.0,0.3811819553375244,1,20
Knapsack,mimic,14,10,0.0,0.37146520614624023,2,20
Knapsack,random_hill_climb,15,10,0.0,0.0001590251922607422,0,10000
Knapsack,random_hill_climb,15,10,0.0,0.00014781951904296875,1,10000
Knapsack,random_hill_climb,15,10,0.0,0.0001499652862548828,2,10000
Knapsack,simulated_annealing,15,10000,0.0,0.18740296363830566,0,10000
Knapsack,simulated_annealing,15,10000,0.0,0.18568205833435059,1,10000
Knapsack,simulated_annealing,15,10000,0.0,0.1889340877532959,2,10000
Knapsack,genetic_alg,15,10,0.0,0.06323790550231934,0,10000
Knapsack,genetic_alg,15,10,0.0,0.061914920806884766,1,10000
Knapsack,genetic_alg,15,10,0.0,0.0624842643737793,2,10000
Knapsack,mimic,15,10,0.0,0.4255242347717285,0,20
Knapsack,mimic,15,10,0.0,0.42231297492980957,1,20
Knapsack,mimic,15,10,0.0,0.43671584129333496,2,20
