,algorithm,duration,nn,random_state,train_accuracy,test_accuracy,f1_train,f1_test,fitness_curve,sample_size,hidden_nodes,max_iters
0,random_hill_climb,0.05809521675109863,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.7979274611398963,0.8033126293995859,0.2641509433962264,0.20168067226890757,100,579,[8],100
1,random_hill_climb,0.07009291648864746,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8601036269430051,0.8633540372670807,0.0,0.0,200,579,[8],200
2,random_hill_climb,0.10580086708068848,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8601036269430051,0.8633540372670807,0.0,0.0,300,579,[8],300
3,random_hill_climb,0.14136171340942383,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8601036269430051,0.8633540372670807,0.0,0.0,400,579,[8],400
4,random_hill_climb,0.036132097244262695,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.8069948186528497,0.7991718426501035,0.2938388625592417,0.19834710743801653,100,772,[8],100
5,random_hill_climb,0.07473993301391602,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8575129533678757,0.8633540372670807,0.0,0.0,200,772,[8],200
6,random_hill_climb,0.11394119262695312,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8575129533678757,0.8633540372670807,0.0,0.0,300,772,[8],300
7,random_hill_climb,0.15210223197937012,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8575129533678757,0.8633540372670807,0.0,0.0,400,772,[8],400
8,random_hill_climb,0.03864789009094238,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.8002070393374742,0.7950310559006211,0.27169811320754716,0.1951219512195122,100,966,[8],100
9,random_hill_climb,0.07994484901428223,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8633540372670807,0.8633540372670807,0.0,0.0,200,966,[8],200
10,random_hill_climb,0.12270903587341309,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8633540372670807,0.8633540372670807,0.0,0.0,300,966,[8],300
11,random_hill_climb,0.16684389114379883,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8633540372670807,0.8633540372670807,0.0,0.0,400,966,[8],400
12,random_hill_climb,0.04768490791320801,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.7963761863675582,0.7950310559006211,0.2578616352201258,0.1951219512195122,100,1159,[8],100
13,random_hill_climb,0.10126996040344238,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8679896462467644,0.8633540372670807,0.0,0.0,200,1159,[8],200
14,random_hill_climb,0.149461030960083,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8679896462467644,0.8633540372670807,0.0,0.0,300,1159,[8],300
15,random_hill_climb,0.1895902156829834,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8679896462467644,0.8633540372670807,0.0,0.0,400,1159,[8],400
16,random_hill_climb,0.05116009712219238,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.7943786982248521,0.7991718426501035,0.24864864864864863,0.19834710743801653,100,1352,[8],100
17,random_hill_climb,0.0990447998046875,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8698224852071006,0.8633540372670807,0.0,0.0,200,1352,[8],200
18,random_hill_climb,0.1524507999420166,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8698224852071006,0.8633540372670807,0.0,0.0,300,1352,[8],300
19,random_hill_climb,0.21298503875732422,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8698224852071006,0.8633540372670807,0.0,0.0,400,1352,[8],400
20,random_hill_climb,0.0520477294921875,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.801294498381877,0.8033126293995859,0.25665859564164645,0.20168067226890757,100,1545,[8],100
21,random_hill_climb,0.1107330322265625,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8711974110032362,0.8633540372670807,0.0,0.0,200,1545,[8],200
22,random_hill_climb,0.1699810028076172,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8711974110032362,0.8633540372670807,0.0,0.0,300,1545,[8],300
23,random_hill_climb,0.2189338207244873,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8711974110032362,0.8633540372670807,0.0,0.0,400,1545,[8],400
24,random_hill_climb,0.05842089653015137,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.7997698504027618,0.8033126293995859,0.25641025641025644,0.20168067226890757,100,1738,[8],100
25,random_hill_climb,0.11284494400024414,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8688147295742232,0.8633540372670807,0.0,0.0,200,1738,[8],200
26,random_hill_climb,0.18102693557739258,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8688147295742232,0.8633540372670807,0.0,0.0,300,1738,[8],300
27,random_hill_climb,0.2372438907623291,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8688147295742232,0.8633540372670807,0.0,0.0,400,1738,[8],400
28,random_hill_climb,0.05970478057861328,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",0,0.7971014492753623,0.8033126293995859,0.25757575757575757,0.20168067226890757,100,1932,[8],100
29,random_hill_climb,0.12119603157043457,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",0,0.8643892339544513,0.8633540372670807,0.0,0.0,200,1932,[8],200
30,random_hill_climb,0.18594002723693848,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",0,0.8643892339544513,0.8633540372670807,0.0,0.0,300,1932,[8],300
31,random_hill_climb,0.2597990036010742,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",0,0.8643892339544513,0.8633540372670807,0.0,0.0,400,1932,[8],400
32,random_hill_climb,0.038655996322631836,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8566493955094991,0.8633540372670807,0.0,0.0,100,579,[8],100
33,random_hill_climb,0.07610106468200684,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8566493955094991,0.8633540372670807,0.0,0.0,200,579,[8],200
34,random_hill_climb,0.1132652759552002,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8566493955094991,0.8633540372670807,0.0,0.0,300,579,[8],300
35,random_hill_climb,0.14560914039611816,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8566493955094991,0.8633540372670807,0.0,0.0,400,579,[8],400
36,random_hill_climb,0.026768207550048828,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8588082901554405,0.8633540372670807,0.0,0.0,71,772,[8],100
37,random_hill_climb,0.026790142059326172,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8588082901554405,0.8633540372670807,0.0,0.0,71,772,[8],200
38,random_hill_climb,0.0266571044921875,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8588082901554405,0.8633540372670807,0.0,0.0,71,772,[8],300
39,random_hill_climb,0.026645898818969727,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8588082901554405,0.8633540372670807,0.0,0.0,71,772,[8],400
40,random_hill_climb,0.028500080108642578,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8623188405797102,0.8633540372670807,0.0,0.0,71,966,[8],100
41,random_hill_climb,0.02853679656982422,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8623188405797102,0.8633540372670807,0.0,0.0,71,966,[8],200
42,random_hill_climb,0.028502702713012695,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8623188405797102,0.8633540372670807,0.0,0.0,71,966,[8],300
43,random_hill_climb,0.028527021408081055,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8623188405797102,0.8633540372670807,0.0,0.0,71,966,[8],400
44,random_hill_climb,0.033132076263427734,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8645383951682485,0.8633540372670807,0.0,0.0,71,1159,[8],100
45,random_hill_climb,0.03283190727233887,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8645383951682485,0.8633540372670807,0.0,0.0,71,1159,[8],200
46,random_hill_climb,0.03267788887023926,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8645383951682485,0.8633540372670807,0.0,0.0,71,1159,[8],300
47,random_hill_climb,0.03641986846923828,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8645383951682485,0.8633540372670807,0.0,0.0,71,1159,[8],400
48,random_hill_climb,0.05196118354797363,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8668639053254438,0.8633540372670807,0.0,0.0,100,1352,[8],100
49,random_hill_climb,0.10267519950866699,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8668639053254438,0.8633540372670807,0.0,0.0,200,1352,[8],200
50,random_hill_climb,0.15826416015625,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8668639053254438,0.8633540372670807,0.0,0.0,300,1352,[8],300
51,random_hill_climb,0.22178411483764648,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8668639053254438,0.8633540372670807,0.0,0.0,400,1352,[8],400
52,random_hill_climb,0.05928802490234375,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8673139158576052,0.8633540372670807,0.0,0.0,100,1545,[8],100
53,random_hill_climb,0.1113278865814209,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8673139158576052,0.8633540372670807,0.0,0.0,200,1545,[8],200
54,random_hill_climb,0.16850709915161133,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8673139158576052,0.8633540372670807,0.0,0.0,300,1545,[8],300
55,random_hill_climb,0.22435212135314941,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8673139158576052,0.8633540372670807,0.0,0.0,400,1545,[8],400
56,random_hill_climb,0.04016470909118652,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8642117376294591,0.8633540372670807,0.0,0.0,71,1738,[8],100
57,random_hill_climb,0.03834700584411621,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8642117376294591,0.8633540372670807,0.0,0.0,71,1738,[8],200
58,random_hill_climb,0.0382688045501709,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8642117376294591,0.8633540372670807,0.0,0.0,71,1738,[8],300
59,random_hill_climb,0.04014396667480469,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8642117376294591,0.8633540372670807,0.0,0.0,71,1738,[8],400
60,random_hill_climb,0.04098391532897949,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",1,0.8643892339544513,0.8633540372670807,0.0,0.0,71,1932,[8],100
61,random_hill_climb,0.04202008247375488,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",1,0.8643892339544513,0.8633540372670807,0.0,0.0,71,1932,[8],200
62,random_hill_climb,0.04090428352355957,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",1,0.8643892339544513,0.8633540372670807,0.0,0.0,71,1932,[8],300
63,random_hill_climb,0.04229402542114258,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",1,0.8643892339544513,0.8633540372670807,0.0,0.0,71,1932,[8],400
64,random_hill_climb,0.03781890869140625,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8842832469775475,0.8633540372670807,0.0,0.0,100,579,[8],100
65,random_hill_climb,0.07663798332214355,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8842832469775475,0.8633540372670807,0.0,0.0,200,579,[8],200
66,random_hill_climb,0.10930585861206055,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8842832469775475,0.8633540372670807,0.0,0.0,300,579,[8],300
67,random_hill_climb,0.14156317710876465,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8842832469775475,0.8633540372670807,0.0,0.0,400,579,[8],400
68,random_hill_climb,0.039099931716918945,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8691709844559585,0.8633540372670807,0.0,0.0,100,772,[8],100
69,random_hill_climb,0.07951688766479492,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8691709844559585,0.8633540372670807,0.0,0.0,200,772,[8],200
70,random_hill_climb,0.11736106872558594,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8691709844559585,0.8633540372670807,0.0,0.0,300,772,[8],300
71,random_hill_climb,0.15493083000183105,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8691709844559585,0.8633540372670807,0.0,0.0,400,772,[8],400
72,random_hill_climb,0.042363882064819336,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8695652173913043,0.8633540372670807,0.0,0.0,100,966,[8],100
73,random_hill_climb,0.0869147777557373,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8695652173913043,0.8633540372670807,0.0,0.0,200,966,[8],200
74,random_hill_climb,0.12674570083618164,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8695652173913043,0.8633540372670807,0.0,0.0,300,966,[8],300
75,random_hill_climb,0.16780400276184082,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8695652173913043,0.8633540372670807,0.0,0.0,400,966,[8],400
76,random_hill_climb,0.05037212371826172,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8697152717860225,0.8633540372670807,0.0,0.0,100,1159,[8],100
77,random_hill_climb,0.10228490829467773,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8697152717860225,0.8633540372670807,0.0,0.0,200,1159,[8],200
78,random_hill_climb,0.14589381217956543,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8697152717860225,0.8633540372670807,0.0,0.0,300,1159,[8],300
79,random_hill_climb,0.19263529777526855,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8697152717860225,0.8633540372670807,0.0,0.0,400,1159,[8],400
80,random_hill_climb,0.05374479293823242,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8683431952662722,0.8633540372670807,0.0,0.0,100,1352,[8],100
81,random_hill_climb,0.11003899574279785,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8683431952662722,0.8633540372670807,0.0,0.0,200,1352,[8],200
82,random_hill_climb,0.16547703742980957,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8683431952662722,0.8633540372670807,0.0,0.0,300,1352,[8],300
83,random_hill_climb,0.2170732021331787,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8683431952662722,0.8633540372670807,0.0,0.0,400,1352,[8],400
84,random_hill_climb,0.057739973068237305,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8647249190938512,0.8633540372670807,0.0,0.0,100,1545,[8],100
85,random_hill_climb,0.1163032054901123,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8647249190938512,0.8633540372670807,0.0,0.0,200,1545,[8],200
